wavelength_nm,intensity_counts
3.643289950000000204e+02,7.924242424242426530e+00
3.646946851553873898e+02,7.924242424242426530e+00
3.650603411782186640e+02,7.924242424242426530e+00
3.654259630484982040e+02,7.924242424242426530e+00
3.657915507462297455e+02,7.590909090909093493e+00
3.661571042514175360e+02,7.590909090909093493e+00
3.665226235440654818e+02,7.590909090909093493e+00
3.668881086041776030e+02,7.590909090909093493e+00
3.672535594117580331e+02,7.257575757575760456e+00
3.676189759468108491e+02,7.257575757575760456e+00
3.679843581893400142e+02,6.924242424242426530e+00
3.683497061193495483e+02,7.590909090909093493e+00
3.687150197168435852e+02,8.924242424242427418e+00
3.690802989618259744e+02,1.025757575757575957e+01
3.694455438343009632e+02,1.092424242424242564e+01
3.698107543142725149e+02,1.125757575757575957e+01
3.701759303817446494e+02,1.159090909090909349e+01
3.705410720167214436e+02,1.159090909090909349e+01
3.709061791992068606e+02,1.059090909090909349e+01
3.712712519092050343e+02,1.025757575757575957e+01
3.716362901267200414e+02,1.159090909090909349e+01
3.720012938317557882e+02,1.259090909090909349e+01
3.723662630043163517e+02,1.359090909090909349e+01
3.727311976244057519e+02,1.259090909090909349e+01
3.730960976720281224e+02,1.225757575757576134e+01
3.734609631271874832e+02,1.225757575757575957e+01
3.738257939698878545e+02,1.259090909090909172e+01
3.741905901801332561e+02,1.325757575757575957e+01
3.745553517379276514e+02,1.259090909090909349e+01
3.749200786232752307e+02,1.225757575757576134e+01
3.752847708161800142e+02,1.159090909090909349e+01
3.756494282966459650e+02,1.259090909090909349e+01
3.760140510446771600e+02,1.292424242424242564e+01
3.763786390402775623e+02,1.325757575757575957e+01
3.767431922634513626e+02,1.325757575757575957e+01
3.771077106942025239e+02,1.392424242424242742e+01
3.774721943125350663e+02,1.392424242424242564e+01
3.778366430984530098e+02,1.359090909090909349e+01
3.782010570319604312e+02,1.325757575757575957e+01
3.785654360930614644e+02,1.359090909090909349e+01
3.789297802617599586e+02,1.359090909090909349e+01
3.792940895180601615e+02,1.425757575757575957e+01
3.796583638419659792e+02,1.492424242424242564e+01
3.800226032134813750e+02,1.559090909090909172e+01
3.803868076126105393e+02,1.559090909090909172e+01
3.807509770193574923e+02,1.592424242424242564e+01
3.811151114137262539e+02,1.625757575757575779e+01
3.814792107757208441e+02,1.592424242424242742e+01
3.818432750853452831e+02,1.559090909090909349e+01
3.822073043226036475e+02,1.592424242424242564e+01
3.825712984674999575e+02,1.659090909090908994e+01
3.829352575000383467e+02,1.692424242424242564e+01
3.832991814002227784e+02,1.659090909090909349e+01
3.836630701480572156e+02,1.625757575757576134e+01
3.840269237235457354e+02,1.592424242424242564e+01
3.843907421066924712e+02,1.625757575757575779e+01
3.847545252775014433e+02,1.725757575757575779e+01
3.851182732159766147e+02,1.759090909090909349e+01
3.854819859021221191e+02,1.692424242424242564e+01
3.858456633159418629e+02,1.659090909090909349e+01
3.862093054374399799e+02,1.692424242424242564e+01
3.865729122466205467e+02,1.659090909090909349e+01
3.869364837234875267e+02,1.625757575757575779e+01
3.873000198480449967e+02,1.625757575757575779e+01
3.876635206002969767e+02,1.759090909090909349e+01
3.880269859602474867e+02,1.825757575757576134e+01
3.883904159079006035e+02,1.859090909090909349e+01
3.887538104232604610e+02,1.859090909090909349e+01
3.891171694863309085e+02,1.959090909090909349e+01
3.894804930771160230e+02,2.025757575757575779e+01
3.898437811756199949e+02,1.992424242424242564e+01
3.902070337618467306e+02,1.859090909090909349e+01
3.905702508158003639e+02,1.792424242424242564e+01
3.909334323174848009e+02,1.992424242424242564e+01
3.912965782469041187e+02,2.225757575757575779e+01
3.916596885840625077e+02,2.392424242424242564e+01
3.920227633089638175e+02,2.359090909090909349e+01
3.923858024016122386e+02,2.292424242424242564e+01
3.927488058420117341e+02,2.292424242424242564e+01
3.931117736101662103e+02,2.425757575757575779e+01
